"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/UGC3701583/SVR_GoodTime_Cordon/Materials/NewMaterial.NewMaterial","21","6","2","1","28.115471","12","57"
"/UGC3701583/SVR_GoodTime_Cordon/Materials/Lanscape.Lanscape","21","60","6","3","307.202667","336","2446"
"/UGC3701583/SVR_GoodTime_Cordon/Materials/Grmd_material1.Grmd_material1","21","6","1","1","22.218397","12","69"
